,date,lapTime,track,weather,temp,track_temp,humidity,air_pressure,wind_speed,wind_direction,rain
187,2018-06-24,95886.722,magny-cours,sunny,24.0,41.0,52.0,966.0,1.0,turning,dry
188,2018-07-08,93087.368,silverstone,sunny,26.0,50.0,40.0,1008.0,2.0,turning west,dry
189,2018-07-29,82145.947,hungaroring,sunny,34.0,53.0,43.0,983.0,1.0,northwest,dry
190,2018-08-26,108505.941,de-spa,cloudy,17.0,28.0,38.0,966.0,2.5,north,dry
191,2018-09-02,84167.789,monza,very cloudy,22.0,32.0,61.0,995.0,2.5,north,dry
192,2018-10-07,94383.1,fuji,slightly cloudy,28.0,36.0,51.0,1008.0,2.5,southeast,dry
193,2018-10-21,99531.611,indianapolis,sunny,20.0,28.0,40.0,1006.0,2.0,east,dry
194,2018-10-21,99531.611,austin,sunny,20.0,28.0,40.0,1006.0,2.0,east,dry
195,2018-10-28,81516.25,mexico,cloudy,20.0,34.0,50.0,784.0,1.5,east,dry
196,2018-11-11,72460.2,interlagos,sunny,24.0,40.0,70.0,924.0,1.8,southeast,dry
197,2018-11-25,102943.632,abu-dhabi,"clear, short showers",29.0,31.0,55.0,1014.0,3.5,turning southeast,wet
198,2019-03-17,88041.35,albert-park,sunny,23.0,40.0,70.0,1015.0,1.5,northwest,dry
199,2019-03-31,95708.45,sachir,cloudy,26.0,29.0,55.0,1003.0,4.0,northeast,dry
200,2019-04-14,97250.85,shanghai,cloudy,19.0,29.0,45.0,1019.0,3.0,southeast,dry
201,2019-05-12,81006.9,catalunya,slightly cloudy,20.0,40.0,56.0,1006.0,1.5,south,dry
202,2019-05-26,76366.45,de-monaco,cloudy,23.0,32.0,53.0,1011.0,1.0,turning,dry
203,2019-06-09,76010.15,montreal,sunny,29.0,51.0,14.0,1022.0,1.5,changing,dry
204,2019-06-23,94784.65,magny-cours,sunny,26.0,55.0,40.0,967.0,2.0,turning,dry
205,2019-07-14,90151.3,silverstone,very cloudy,18.0,30.0,62.0,1006.0,2.0,southwest,dry
206,2019-08-04,80975.4,hungaroring,sunny,26.0,45.0,34.0,986.0,1.0,south,dry
207,2019-09-01,108226.167,de-spa,cloudy,17.0,28.0,56.0,968.0,2.5,southwest,dry
208,2019-09-08,83975.7,monza,slightly cloudy,21.0,34.0,50.0,988.0,1.5,northeast,dry
209,2019-10-13,93632.3,fuji,sunny,22.0,37.0,58.0,1009.0,5.0,northwest,dry
210,2019-10-27,80368.65,mexico,cloudy,24.0,40.0,45.0,780.0,1.0,turning,dry
211,2019-11-03,99726.05,indianapolis,sunny,22.0,28.0,30.0,1001.0,3.0,turning,dry
212,2019-11-03,99726.05,austin,sunny,22.0,28.0,30.0,1001.0,3.0,turning,dry
213,2019-11-17,72464.15,interlagos,sunny,22.0,49.0,49.0,925.0,2.0,southeast,dry
214,2019-12-01,102185.95,abu-dhabi,sunny / clear,26.0,29.0,66.0,1015.0,1.5,northwest,dry
