'522', '2017-06-22 19:20:00', 'Adelaide Oval', 'R14', '14', 'Adelaide', '12', '10', '82', 'Hawthorn', '14', '12', '96', '-14'
'536', '2017-07-01 19:25:00', 'Adelaide Oval', 'R15', '15', 'Port Adelaide', '8', '15', '63', 'Richmond', '11', '10', '76', '-13'
'540', '2017-07-07 19:20:00', 'Adelaide Oval', 'R16', '16', 'Adelaide', '16', '8', '104', 'Footscray', '5', '15', '45', '59'
'551', '2017-07-15 13:45:00', 'Adelaide Oval', 'R17', '17', 'Port Adelaide', '19', '13', '127', 'North Melbourne', '8', '9', '57', '70'
'558', '2017-07-21 19:20:00', 'Adelaide Oval', 'R18', '18', 'Adelaide', '13', '13', '91', 'Geelong', '10', '10', '70', '21'
'570', '2017-07-29 16:05:00', 'Adelaide Oval', 'R19', '19', 'Port Adelaide', '9', '9', '63', 'St Kilda', '8', '13', '61', '2'
'584', '2017-08-06 16:10:00', 'Adelaide Oval', 'R20', '20', 'Adelaide', '18', '22', '130', 'Port Adelaide', '7', '4', '46', '84'
'593', '2017-08-13 16:10:00', 'Adelaide Oval', 'R21', '21', 'Port Adelaide', '14', '14', '98', 'Collingwood', '10', '11', '71', '27'
'594', '2017-08-18 19:20:00', 'Adelaide Oval', 'R22', '22', 'Adelaide', '11', '14', '80', 'Sydney', '13', '5', '83', '-3'
'608', '2017-08-26 19:25:00', 'Adelaide Oval', 'R23', '23', 'Port Adelaide', '20', '15', '135', 'Gold Coast', '3', '2', '20', '115'
'612', '2017-09-07 19:20:00', 'Adelaide Oval', 'QF', '24', 'Adelaide', '12', '12', '84', 'GWS', '6', '12', '48', '36'
'615', '2017-09-09 19:20:00', 'Adelaide Oval', 'EF', '24', 'West Coast', '12', '6', '78', 'Port Adelaide', '10', '16', '76', '2'
'618', '2017-09-22 19:20:00', 'Adelaide Oval', 'PF', '26', 'Adelaide', '21', '10', '136', 'Geelong', '10', '15', '75', '61'
'624', '2018-03-24 16:05:00', 'Adelaide Oval', 'R1', '1', 'Port Adelaide', '16', '14', '110', 'Fremantle', '9', '6', '60', '50'
'630', '2018-03-29 19:20:00', 'Adelaide Oval', 'R2', '2', 'Adelaide', '18', '10', '118', 'Richmond', '12', '10', '82', '36'
'640', '2018-04-07 13:15:00', 'Adelaide Oval', 'R3', '3', 'Port Adelaide', '14', '13', '97', 'Brisbane Lions', '14', '8', '92', '5'
'648', '2018-04-13 19:20:00', 'Adelaide Oval', 'R4', '4', 'Adelaide', '9', '4', '58', 'Collingwood', '16', '10', '106', '-48'
'660', '2018-04-21 18:15:00', 'Adelaide Oval', 'R5', '5', 'Port Adelaide', '7', '8', '50', 'Geelong', '12', '12', '84', '-34'
'671', '2018-04-28 19:25:00', 'Adelaide Oval', 'R6', '6', 'Adelaide', '16', '14', '110', 'Gold Coast', '9', '8', '62', '48'
'680', '2018-05-05 19:25:00', 'Adelaide Oval', 'R7', '7', 'Adelaide', '19', '11', '125', 'Carlton', '10', '10', '70', '55'
'688', '2018-05-12 16:40:00', 'Adelaide Oval', 'R8', '8', 'Port Adelaide', '14', '11', '95', 'Adelaide', '14', '6', '90', '5'
'693', '2018-05-18 19:20:00', 'Adelaide Oval', 'R9', '9', 'Adelaide', '9', '9', '63', 'Footscray', '2', '14', '26', '37'
'718', '2018-06-03 16:10:00', 'Adelaide Oval', 'R11', '11', 'Adelaide', '11', '15', '81', 'GWS', '14', '13', '97', '-16'
'719', '2018-06-08 19:20:00', 'Adelaide Oval', 'R12', '12', 'Port Adelaide', '10', '12', '72', 'Richmond', '8', '10', '58', '14'
'726', '2018-06-14 19:20:00', 'Adelaide Oval', 'R13', '13', 'Port Adelaide', '20', '12', '132', 'Footscray', '11', '9', '75', '57'
'733', '2018-06-22 19:20:00', 'Adelaide Oval', 'R14', '14', 'Port Adelaide', '11', '9', '75', 'Melbourne', '9', '11', '65', '10'
'741', '2018-06-30 16:05:00', 'Adelaide Oval', 'R15', '15', 'Adelaide', '12', '16', '88', 'West Coast', '12', '6', '78', '10'
'750', '2018-07-07 16:05:00', 'Adelaide Oval', 'R16', '16', 'Port Adelaide', '12', '14', '86', 'St Kilda', '7', '8', '50', '36'
'756', '2018-07-12 19:20:00', 'Adelaide Oval', 'R17', '17', 'Adelaide', '16', '16', '112', 'Geelong', '14', '13', '97', '15'
'773', '2018-07-22 16:10:00', 'Adelaide Oval', 'R18', '18', 'Port Adelaide', '8', '10', '58', 'GWS', '11', '14', '80', '-22'
'779', '2018-07-28 19:25:00', 'Adelaide Oval', 'R19', '19', 'Adelaide', '10', '17', '77', 'Melbourne', '13', '12', '90', '-13'
'786', '2018-08-04 16:05:00', 'Adelaide Oval', 'R20', '20', 'Adelaide', '13', '18', '96', 'Port Adelaide', '14', '9', '93', '3'
'795', '2018-08-11 16:05:00', 'Adelaide Oval', 'R21', '21', 'Port Adelaide', '9', '4', '58', 'West Coast', '9', '8', '62', '-4'
'809', '2018-08-19 16:10:00', 'Adelaide Oval', 'R22', '22', 'Adelaide', '12', '14', '86', 'North Melbourne', '11', '11', '77', '9'
'810', '2018-08-24 19:20:00', 'Adelaide Oval', 'R23', '23', 'Port Adelaide', '13', '11', '89', 'Essendon', '17', '9', '111', '-22'
'831', '2019-03-23 16:05:00', 'Adelaide Oval', 'R1', '1', 'Adelaide', '7', '13', '55', 'Hawthorn', '12', '15', '87', '-32'
